,last,status,title
152,2.2,Success,Louise Fresco 談世界糧食供應.txt
153,2.2,Success,積奇蓮 • 諾夫加思 : 大度人生之啟發.txt
154,2.2,Success,我怎樣重新開始寫歌.txt
155,2.2,Success,大衛•漢森 (David Hanson) ：情感豐富的機器人.txt
156,2.2,Success,Eleni Gabre-Madhin 談有關衣索比亞的經濟狀況.txt
157,Failed,Failed,當心網路上的「過濾氣泡」.txt
158,Failed,Failed,西斯汀教堂前所未聞的故事.txt
159,Failed,Failed,為什麼我甘冒生命危險來講述加薩的故事.txt
160,2.2,Success,Barbara Block: 給深海鮪魚做標記.txt
161,7.333333333333333,Success,Dean Ornish 談療癒.txt
162,1.5714285714285714,Success,丹•丹尼特.txt
163,2.2,Success,阿格拉瓦爾：認識10位優秀的印度藝術家.txt
164,Failed,Failed,未來自我的心理學.txt
165,2.2,Success,艾美 慕林：不幸的機會.txt
166,2.4444444444444446,Success,Richard Turere：我那讓人與獅子和平共處的發明.txt
167,2.2,Success,伊莫金希普—“等待”.txt
168,Failed,Failed,我們如何培育珊瑚蟲來重建珊瑚礁.txt
169,2.2,Success,Rives: 新創的百科遊戲.txt
170,2.2,Success,戴都特‧帕坦奈：東方與西方：迷惑你我的神話.txt
171,Failed,Failed,帶你一窺令人目眩神迷的未來飛行器.txt
172,Failed,Failed,如何更瞭解我們的世界.txt
173,2.2,Success,克林頓談重建盧旺達.txt
174,2.2,Success,雷門．西舍 (Lemn Sissay)：國家的孩子.txt
175,2.2,Success,日常的用品，悲慘的歷史.txt
176,2.2,Success,Rob Reid：8億美金的iPod.txt
177,2.2,Success,Taylor Wilson: 沒錯，我蓋了一座核融合反應爐.txt
178,3.0,Success,丹尼爾‧卡內曼(Daniel Kahneman)：經驗與記憶之謎.txt
179,2.238095238095238,Success,大衛裴利對於電玩遊戲的看法.txt
180,2.2,Success,年輕的血液如何讓你返老還童。真的，沒騙你.txt
181,Failed,Failed,Vijay Kumar 談論：會飛行還懂得團隊合作的機器人.txt
182,Failed,Failed,Kim Gorgens：防止腦震蕩對大腦的危害.txt
183,Failed,Failed,你以前從未聽說過的隱密美國監獄.txt
184,2.2,Success,多納德‧沙多威：可再生能源發展的關鍵.txt
185,Failed,Failed,人類如何稱霸地球？.txt
186,2.2,Success,艾倫·薩弗瑞：如何綠化全球沙漠及反轉氣候變遷.txt
187,3.6666666666666665,Success,"Deborah Scranton 的""戰爭實錄"".txt"
188,7.5,Success,格申斐德( Neil Gershenfeld) 論Fab Lab計劃.txt
189,2.2,Success,Patricia Ryan：別堅持說英語！.txt
190,2.2,Success,重建破碎家園－保羅 柯立尔的新見解.txt
191,2.2,Success,解決磷危機的簡單方法.txt
192,Failed,Failed,四種方法避免毀滅性旱災.txt
193,2.2,Success,Peter Diamandis 談人類下一次的大躍進.txt
194,2.2,Success,亞歷克．斯特芬看到一個可持續的未來。.txt
195,2.2,Success,夏非‧馬德（Shaffi Mather）：反貪腐新招.txt
196,2.2,Success,Paul Bloom：快樂的起源.txt
197,2.2,Success,下一個工業上的紀元已經到來。.txt
198,2.2,Success,Peter Haas談論海地的工程災難.txt
199,Failed,Failed,丹‧艾瑞利問道：我們是否主宰自己的決定？.txt
200,2.2,Success,Mechai Viravaidya：保險套先生如何讓泰國變得更好.txt
201,Failed,Failed,如何建立一個百年企業.txt
202,2.2,Success,派翠克 查帕特：漫畫的力量.txt
203,2.2,Success,Beth Noveck: 要求更開放的政府.txt
204,Failed,Failed,這台電腦未來會幫你耕作食物.txt
205,2.2,Success,卡貝納‧博罕談論像人腦般運作的電腦.txt
206,Failed,Failed,愛瑞卡‧芬科：泛用型麻醉機.txt
207,2.2,Success,製弓的藝術.txt
208,2.2,Success,Nathan Wolfe: 還有什麼可以探索？.txt
209,Failed,Failed,大腦溝通的新發現.txt
210,2.8846153846153846,Success,"Christopher ""moot"" Poole 談網路匿名.txt"
211,2.2,Success,從雞造出的恐龍.txt
212,2.2,Success,巨型倉儲內探祕.txt
213,2.2,Success,羅茲﹒沙維奇：為什麼我要划船横渡太平洋.txt
214,2.2,Success,何馬若‧坎圖 + 班‧羅氏：食物煉金術.txt
215,Failed,Failed,為什麼一本好書是一扇神秘之門.txt
216,Failed,Failed,未來在何方？十一位人物為你逐一快速解答.txt
217,2.2,Success,查爾斯·海澤伍德：信任我的合奏團.txt
218,5.066666666666666,Success,Michael Sandel：當民主辯論的技藝已消失.txt
219,3.3076923076923075,Success,賀比．漢考克與巨星共同演出.txt
220,2.2,Success,你是人嗎？.txt
221,2.2,Success,基斯•吉迪斯: 未來的賽車 — 時速150英里，沒有駕駛員.txt
222,Failed,Failed,我們能打贏貧窮的三個理由.txt
223,Failed,Failed,目擊蜜蜂生命中驚心動魄的最初21天.txt
224,3.6666666666666665,Success,"馬可天･普斯特: 擴增實境, 科技性的魔術.txt"
225,2.2,Success,我們的媒體自由有多自由？.txt
226,Failed,Failed,人類將會如何演化到能在太空生存.txt
227,2.2,Success,凱文・凱利 (Kevin Kelly) 網路世界的未來五千天.txt
228,2.2,Success,"John Lloyd述說""看不見""的含義.txt"
229,2.2,Success,沒錯！想要聆聽音樂你必須親臨現場.txt
230,2.2,Success,Don Norman 談設計創意中令人滿意的三個要素.txt
231,Failed,Failed,區塊鍊將如何改變金融與企業.txt
232,2.2,Success,Gayle Tzemach Lemmon: 女性企業家，模範而非例外.txt
233,2.2,Success,馬努斯拉爾森:將沙丘變建築.txt
234,2.1666666666666665,Success,史都華．布蘭德（Stewart Brand）： 終止滅絕的明天。你準備好了嗎？.txt
235,2.2,Success,賽門•劉易斯: 不要把知覺性當理所當然的事.txt
236,4.2,Success,叛逆年輕—法蘭克‧蓋瑞.txt
237,2.2,Success,穆沙塔夫 阿卡約: 伊斯蘭世界中的信仰與傳統.txt
238,2.2,Success,你的孩子可能在火星上生活，來看看他們將如何生存吧.txt
239,2.2,Success,「格格不入」之美.txt
240,2.2,Success,迷人的人體解剖學藝術.txt
241,Failed,Failed,一個出水能跑，入水能游的蜥蜴機械人.txt
242,2.2,Success,《紐約客》逗號女王的挑剔榮耀.txt
243,2.2,Success,大衛與歌利亞 - 你從未聽聞過的軼事.txt
244,2.2,Success,瑪雅‧貝瑟與她的大提琴分身.txt
245,2.2,Success,Nic Marks: 快樂星球指數.txt
246,Failed,Failed,二十一世紀資本論的新思維.txt
247,2.2,Success,馬丁: 重塑女性主義.txt
248,Failed,Failed,謝樂爾•桑德伯格（Sheryl Sandberg）：為什麼我們的女性領袖太少.txt
249,2.2,Success,我在冰河洞穴的新發現.txt
250,Failed,Failed,紙風光舞：乘著紙，風和光的颶風中的舞蹈.txt
251,2.2,Success,這是持久愛情看起來的様子.txt
252,2.2,Success,建築風格可以協助提供一個更好的死亡方式.txt
253,2.2,Success,作為一個孩子，我在監獄學了什麼？.txt
254,Failed,Failed,黑猩猩有感情和思想 － 他們也該擁有法律上的權利！.txt
255,1.8333333333333333,Success,Evan Grant: 藉由cymatics技術使聲音可視化.txt
256,2.2,Success,艾米利亞路•薩利納斯: 一個面對暴力的文明應對.txt
257,Failed,Failed,我們如何在獲利的同時，也讓世界變得不一樣？.txt
258,Failed,Failed,Rob Harmon：如何利用市場機制讓河川暢流不息.txt
259,2.2,Success,Ananda Shankar Jayant 用舞蹈戰勝癌症.txt
260,2.2,Success,Noel Bairey Merz: 女性所面臨的單一重大健康威脅.txt
261,Failed,Failed,肯‧羅賓森爵士：推動學習革命.txt
262,2.2,Success,Loretta Napoleoni: 錯綜複雜的恐怖主義經濟學.txt
263,Failed,Failed,Barry Schwartz 談選擇的癱瘓.txt
264,3.6666666666666665,Success,Natalie MacMaster用小提琴演繹舞曲.txt
265,2.2,Success,Jessica Green: 設計周遭的細菌環境.txt
266,Failed,Failed,Christopher McDougall：我們是否生來就該奔跑？.txt
267,2.2,Success,針織塗鴉如何席捲全球.txt
268,Failed,Failed,我們從線上教育學到了什麼？.txt
269,2.2,Success,Leslie Morgan Steiner: 為什麼家暴受害者不離開.txt
270,Failed,Failed,我重新拾回神智的經歷 － 在無人知曉的情況下.txt
271,Failed,Failed,Frans de Waal: 動物的道德行為.txt
272,2.2,Success,"Beau Lotto + Amy O’Toole: 科學是為每一個人存在的, 包括孩子們.txt"
273,2.1333333333333333,Success,大衛•柏格 (David Pogue) 的音樂戰爭.txt
274,1.5714285714285714,Success,威廉坎寬巴：築夢始於追風.txt
275,2.2,Success,迪克 (Marcel Dicke)：何不食昆蟲？.txt
276,3.6666666666666665,Success,希洛西瓦蘇爾曼：使用科技實現夢想.txt
277,2.2,Success,Kakenya Ntaiya: 一個建立學校的女孩.txt
278,3.0476190476190474,Success,John Walker 重現偉大的鋼琴表演.txt
279,2.2,Success,Barton Seaver ：永續的海鮮？讓我們變得聰明一點吧.txt
280,Failed,Failed,Brian Goldman: 醫生犯錯了，我們能說嗎？.txt
281,2.2,Success,Jacqueline Novogratz 談耐心資本.txt
282,2.2,Success,理性的長期效應.txt
283,Failed,Failed,"William Ury: 從""不行“到“可以“的道路.txt"
284,1.8333333333333333,Success,蜘蛛人、獅子王與在危險邊緣上的創作生涯.txt
