,link,status,title
73,http://shooter.zimuku.net/download/NjQ2Mzl8JTVCJUU3JUEyJTlGJUU0JUI4JUFEJUU4JUIwJThEMiU1RC5NaXNzaW9uLkltcG9zc2libGUuSUkuMjAwMC5EVkRSaXAuQUMzLlgyNjQuM0NELUNIRS5HVUVWQVJBLkNuU3Vicy5yYXI%3D,True,Mission: ImpossibleII
74,http://shooter.zimuku.net/download/NzUyMjl8ZG9jdG9yJTVCMSU1RC53aG8uMjAwNS5zMDNlMTIud3MucGR0di54dmlkLXJpdmVyLmdiLnJhcg%3D%3D,True,神秘博士2005 第3季第12集
75,http://shooter.zimuku.net/download/NjQ2MTV8X19fX19fX19fX19fLnJhcg%3D%3D,True,Ordinary Heroes 1998 Dvdrip Xvid
76,http://shooter.zimuku.net/download/NjQ2MjN8bnVtYmVyMjMteHZpZC56aXA%3D,True,The Number 23
77,http://shooter.zimuku.net/download/NjQ2MTN8cF9mNHJvdHNzLnJhcg%3D%3D,True,p_f4rotss
78,http://shooter.zimuku.net/download/NjQ2Mzd8SGlnaC5SaXNrLjE5OTUuUkVNQVNURVJFRC5TUEVDaUFMLkVEaVRpT04uaU5URVJOQUwuRFZEUmlQLlgyNjQtS2lTUy5yYXI%3D,True,High.Risk
79,http://shooter.zimuku.net/download/NjQ2ODF8MjAwNzA3MTIwMjQwTWFjR3l2ZXIuUzA2RTEwLlRoZS5WaXNpdG9yLkRWRFJpcC5YdmlELUZvVi5yYXI%3D,True,馬蓋先 114.S6.E10.外星訪客
80,http://shooter.zimuku.net/download/NjQ2ODJ8MjAwNzA3MTIwMjQ3TWFjR3l2ZXIuUzA2RTExLlNxdWVlemUuUGxheS5EVkRSaXAuWHZpRC1Gb1YucmFy,True,馬蓋先 115.S6.E11.棒球風雲
81,http://shooter.zimuku.net/download/NjQ2MTl8MDcuMTIuMDcuRmFudGFzdGljLjQuUmlzZS5PZi5UaGUuU2lsdmVyLlN1cmZlci5SNS5MSU5FLlh2aWQtUFVLS0ElNDBGUk0ucmFy,True,Fantastic Four: Rise Of The Silver Surfer
82,http://shooter.zimuku.net/download/NjQ2MTR8MDcuMjMuMjAwNy5ab2RpYWMuQ25Fbi5TVUIuRGlBTU9ORC5ZVEVULnJhcg%3D%3D,True,Zodiac
83,http://shooter.zimuku.net/download/NjUzOTF8MDdfMjNfMjAwN19ab2RpYWNfQ25Fbl9TVUJfRGlBTU9ORF9ZVEVULnJhcg%3D%3D,True,07_23_2007_Zodiac_CnEn_SUB_DiAMOND_YTET
84,http://shooter.zimuku.net/download/NjQ3MzV8U2h1YW5nLkxvbmcuSmkuMjAwNy5DTi5EVkRSaXAuWHZpZC1pb3ZlMDE4LnN1Yi5yYXI%3D,True,Shuang.Long.Ji.2007.CN.DVDRip.Xvid-iove018双龙记
85,http://shooter.zimuku.net/download/NjQ3MzB8MDcuMTIuMDcuUmF0YXRvdWlsbGUuVFMuWFZpRC1WSURFT19UUyU0MEZSTS5yYXI%3D,True,07.12.07.Ratatouille.TS.XViD-VIDEO_TS@FRM
