,link,title,status
34,http://shooter.zimuku.net/download/MjY0MDAzfCVFMyU4MCU5MFNTSyVFNSVBRCU5NyVFNSVCOSU5NSVFNyVCQiU4NCVFMyU4MCU5MVRoZStGbGFzaCslRTklOTclQUElRTclOTQlQjUlRTQlQkUlQTBTMDFFMDIrMTA4MFAlRTUlODUlQjElRTglQkQlQjQuemlw,【SSK字幕组】闪电侠 第一季 第二集 1080P共轴,0
35,http://shooter.zimuku.net/download/MjY0MDAyfDEwLjE2LjE0LnN1cnZpdm9yLnMyOWUwNC43MjBwLmhkdHYueDI2NC13NGYlNDBQTFgucmFy,幸存者: 南圣胡安 第二十九季第04集,0
36,http://shooter.zimuku.net/download/MjY0MDAxfEFsd2F5cy4xOTg5LkJsdVJheS4lMjYuUEFMLkRWRC4yVmVyc2lvbnMucmFy,天长地久,0
37,http://shooter.zimuku.net/download/MjYzOTk5fElsX3NvbGVfYW5jaGVfZGlfbm90dGVfX19GX2xsaV9UYXZpYW5pXzE5OTBfQ2h0LnJhcg%3D%3D,Il_sole_anche_di_notte_F_lli_Taviani_1990_Cht,0
38,http://shooter.zimuku.net/download/MjYzOTk4fF9fX19fX19fX19fX19fX19fX19fX19fX19fX19fX19fX19fXy5yYXI%3D,# p HDTV x AAC-NGB.cht,0
39,http://shooter.zimuku.net/download/MjYzOTk3fEtpdGUuMjAxNC5CUlJpcC5YVmlELWp1Z2dzJTVCRVRSRyU1RF9lbi5zcnQuemlw,Kite.2014.BRRip.XViD-juggs[ETRG]_en.srt,0
40,http://shooter.zimuku.net/download/MjYzOTk2fExvZytIb3Jpem9uKzIrLSswMi5DaHMlMjZKYXAucmFy,Log Horizon 2,0
41,http://shooter.zimuku.net/download/MjYzOTk1fFRoZS5GbGFzaC4yMDE0LlMwMUUwMi5GYXN0ZXN0Lk1hbi5BbGl2ZS4xMDgwcC5XRUItREwuREQ1LjEuSC4yNjQtTlRiLnJhcg%3D%3D,閃電俠,0
42,http://shooter.zimuku.net/download/MjYzOTk0fFZveW5hJTI4MjAwMiUyOS5DaHQucmFy,战俘计划(2002),0
43,http://shooter.zimuku.net/download/MjYzOTkzfG9uY2UudXBvbi5hLnRpbWUuNDAzLmhkdHYtbG9sLllURVQlNDBZRFkucmFy,童话归来,0
44,http://shooter.zimuku.net/download/MjYzOTkyfFRoZS5CaWcuQmFuZy5UaGVvcnkuUzA4RTA1LlRoZS5Gb2N1cy5BdHRlbnVhdGlvbi4xMDgwcC5XRUItREwuREQ1LjEuSC4yNjQtT29zaC5yYXI%3D,生活大爆炸 第八季第五集 WEB-DL,0
45,http://shooter.zimuku.net/download/MjYzOTkxfFRoZS5BbWF6aW5nLlJhY2UuUzI1RTAzLkdldC5Zb3VyLlNoZWVwLlRvZ2V0aGVyLjEwODBwLldFQi1ETC5BQUMyLjAuSC4yNjQtS2lOR1MucmFy,极速前进 第二十五季第三集 WEB-DL,0
46,http://shooter.zimuku.net/download/MjYzOTkwfFN1cnZpdm9yLlMyOUUwMy5BY3Rpb25zLnZzLi5BY2N1c2F0aW9ucy4xMDgwcC5XRUItREwuREQ1LjEuSDI2NC1LaU5HUy5yYXI%3D,幸存者：南圣胡安 第二十九季第三集 WEB-DL,0
47,http://shooter.zimuku.net/download/MjYzOTg5fFNsZWVweS5Ib2xsb3cuUzAyRTA0LkdvLldoZXJlLkkuU2VuZC5UaGVlLjEwODBwLldFQi1ETC5ERDUuMS5ILjI2NC1CUy5yYXI%3D,断头谷,0
48,http://shooter.zimuku.net/download/MjYzOTg4fFNjb3JwaW9uLlMwMUUwNC5TaG9ydGhhbmRlZC4xMDgwcC5XRUItREwuREQ1LjEuSC4yNjQtQlMucmFy,天蝎 第一季第四集 WEB-DL,0
49,http://shooter.zimuku.net/download/MjYzOTg3fFJldmVuZ2UuUzA0RTAzLkFzaGVzLjEwODBwLldFQi1ETC5ERDUuMS5ILjI2NC1LaU5HUy5yYXI%3D,复仇 第四季第三集 WEB-DL,0
50,http://shooter.zimuku.net/download/MjYzOTg2fE9uY2UuVXBvbi5BLlRpbWUuUzA0RTAzLlJvY2t5LlJvYWQuMTA4MHAuV0VCLURMLkRENS4xLkguMjY0LUVDSS5yYXI%3D,童话镇,0
51,http://shooter.zimuku.net/download/MjYzOTg1fE1hcnZlbF9zX0FnZW50c19vZl9TX0hfSV9FX0xfRF9TMDJFMDRfRmFjZV9NeV9FbmVteV8xMDgwcF9XRUJfRExfREQ1XzFfSF8yNjRfQlMucmFy,Marvel_s_Agents_of_S_H_I_E_L_D_S02E04_Face_My_Enemy_1080p_WEB_DL_DD5_1_H_264_BS,0
52,http://shooter.zimuku.net/download/MjYzOTg0fEhhd2FpaS5GaXZlLTAuUzA1RTAzLjEwODBwLldFQi1ETC5ERDUuMS5ILjI2NC1LaU5HUy5yYXI%3D,夏威夷特警,0
53,http://shooter.zimuku.net/download/MjYzOTgzfEZvcmV2ZXIuUzAxRTA0LlRoZS5BcnQuT2YuTXVyZGVyLjEwODBwLldFQi1ETC5ERDUuMS5ILjI2NC1FQ0kucmFy,永恒,0
54,http://shooter.zimuku.net/download/MjYzOTgyfHBlcnNvbi5vZi5pbnRlcmVzdC40MDRyLmhkdHYtbG9sLllURVQuWURZLnJhcg%3D%3D,Person.of.Interest.S04E04,0
55,http://shooter.zimuku.net/download/MjYzOTgxfFRoZS5QdXJnZS5BbmFyY2h5LjIwMTQuQmx1UmF5LngyNjQuemlw,人类清除计划2：无政府状态,0
56,http://shooter.zimuku.net/download/MjYzOTgwfEhhbmFfWW9yaV9EYW5nby5yYXI%3D,Hana_Yori_Dango,0
57,http://shooter.zimuku.net/download/MjYzOTc5fCU1QiVFNyVCRCU5NyVFNSVCRiU5NyVFNyVBNSVBNSU1RFNob3cuTHVvLkxpdmUuVG91ci4yMDE0LkJsdVJheS4xMDgwcC54MjY0LkRUUy1DblNDRy5yYXI%3D,Show.Luo.Live.Tour.2014,0
58,http://shooter.zimuku.net/download/MjYzOTc3fFB1Y2NpbmkuVG9zY2EuMjAxMS43MjBwLkJsdVJheS54MjY0LkRUUy05NzQyeS5yYXI%3D,托斯卡（2011 皇家歌剧院版）,0
59,http://shooter.zimuku.net/download/MjYzOTc2fFBpZXRyby5NYXNjYWduaS1DYXZhbGxlcmlhLlJ1c3RpY2FuYS4yMDA5LjcyMHAuQmx1UmF5LngyNjQuTFBDTS05NzR5LnJhcg%3D%3D,Cavalleria Rusticana (2009),0
60,http://shooter.zimuku.net/download/MjYzOTc1fE1vemFydC1EaWUuWmF1YmVyZmwlQzMlQjZ0ZS4yMDExLjcyMHAuQmx1UmF5LngyNjQuTFBDTS05NzR5LnJhcg%3D%3D,Magic Flute (2001),0
61,http://shooter.zimuku.net/download/MjYzOTc0fCVFNSVBNCU4RiVFNSVBNCU5QyVFNyU5QSU4NCVFNSVCRSVBRSVFNyVBQyU5MS5TbWlsZXMub2YuYS5TdW1tZXIuTmlnaHQuMTk1NS43MjBwLkJsdVJheS54MjY0LVBIT0JPUy5yYXI%3D,Smiles of a Summer Night,0
62,http://shooter.zimuku.net/download/MjYzOTczfE1hcnZlbF9zX0FnZW50c19vZl9TX0hfSV9FX0xfRF9TMDJFMDRfRmFjZV9NeV9FbmVteV8xMDgwcF9XRUJfRExfREQ1XzFfSF8yNjRfQlNfZ2IucmFy,Marvel_s_Agents_of_S_H_I_E_L_D_S02E04_Face_My_Enemy_1080p_WEB_DL_DD5_1_H_264_BS_gb,0
63,http://shooter.zimuku.net/download/MjYzOTcyfCVFOCVCRiVCRCVFOCVCOCVBQVB1cnN1ZWQuMTk0Ny43MjBwLjcyMHAuQmx1UmF5LngyNjQtQ29kcmVzKyU1QlB1YmxpY0hEJTVELnJhcg%3D%3D,追踪,0
64,http://shooter.zimuku.net/download/MjYzOTcxfEFsd2F5cy5yYXI%3D,直到永遠 (Always 1989) bluray,0
65,http://shooter.zimuku.net/download/MjYzOTcwfCVFNSU5MCU4OSVFNyVCMSVCMyVFOCU4MiVBNSVFNCVCQyVBNiVFNCVCQiU4QSVFNSVBNCU5QyVFNyVBNyU4MDIwMTQuMTAuMDcuVGhlLlRvbmlnaHQuU2hvdy5TdGFycmluZy5KaW1teS5GYWxsb24uMjAxNC4xMC4wNy5IRFRWLnppcA%3D%3D,The Tonight Show Starring Jimmy Fallon吉米肥伦今夜秀 2014.10.07 HDTV 1,0
